class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29058,10441,262,"USHJA Hunter 2'3""",8,1554,Going Global,Lindsay Meyer,Kendall Lacy,,
29058,10441,262,"USHJA Hunter 2'3""",,2391,Benlea Magic Dragon,Noemi Varela,Tartan Equestrian,,
29058,10441,262,"USHJA Hunter 2'3""",,2730,Striking Elsa,Phillipa Greenberg,Jennifer Phethean,,
29059,10441,263,"USHJA Hunter 2'3""",1,2141,So Dashing,Jane C. Ehrhart,Sprucedale Inc,,
29059,10441,263,"USHJA Hunter 2'3""",2,2973,Khan Of Ballmore,Angela R. Calkins,Angela R. Calkins,,
29059,10441,263,"USHJA Hunter 2'3""",3,1495,Parade,Devin A. Seek,Wild Sky Farm,,
29059,10441,263,"USHJA Hunter 2'3""",4,1498,Untitled,Katherine Addington,Wild Sky Farm,,
29059,10441,263,"USHJA Hunter 2'3""",5,1966,Carli De Sabette,Maya Fischl,Vannakay Hurnevich,,
29059,10441,263,"USHJA Hunter 2'3""",6,2183,Follow Me Home,Caitlin Maloney,Louise L. Petz,,
29059,10441,263,"USHJA Hunter 2'3""",7,2730,Striking Elsa,Jennifer Phethean,Jennifer Phethean,,
29059,10441,263,"USHJA Hunter 2'3""",8,1554,Going Global,Lindsay Meyer,Kendall Lacy,,
29059,10441,263,"USHJA Hunter 2'3""",,2391,Benlea Magic Dragon,Noemi Varela,Tartan Equestrian,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",1,2141,So Dashing,Jane C. Ehrhart,Sprucedale Inc,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",2,2607,Santino,Jasmine Walsh,Jole Kosloske,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",3,1495,Parade,Devin A. Seek,Wild Sky Farm,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",4,2183,Follow Me Home,Caitlin Maloney,Louise L. Petz,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",5,2138,Madhappy,Joan V. Ehrhart,Allrsfarm LLC,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",6,2391,Benlea Magic Dragon,Noemi Varela,Tartan Equestrian,,
29060,10441,264,"USHJA Hunter 2'3"" U/S",,1498,Untitled,Katherine Addington,Wild Sky Farm,,
29061,10533,265,"USHJA Hunter 2'6""",1,1301,Quatro,Lanie Nash,Jackie Sawyer,,
29061,10533,265,"USHJA Hunter 2'6""",2,1493,Lyon,Katherine Addington,Elevated Performance Horses LLC,,
29061,10533,265,"USHJA Hunter 2'6""",3,2161,Astronaut H Z,Teresa Pompay,Teresa Pompay,,
29061,10533,265,"USHJA Hunter 2'6""",4,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
29061,10533,265,"USHJA Hunter 2'6""",5,2940,Obora’s Sandman,Marissa Creviston,"Alw Eq, LLC",,
29061,10533,265,"USHJA Hunter 2'6""",6,2610,Starridor,Charlotte H. Wiese,Stefano Baruzzo LLC,,
29061,10533,265,"USHJA Hunter 2'6""",7,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29061,10533,265,"USHJA Hunter 2'6""",8,1698,Orchard Hills Best Dressed,Ryan Haselden,Stephanie I Sakata,,
29061,10533,265,"USHJA Hunter 2'6""",,1458,Sweeter Than Fiction,Addy Dewalt,Addy Dewalt,,
29061,10533,265,"USHJA Hunter 2'6""",,1554,Going Global,Jenny Miller,Kendall Lacy,,
29061,10533,265,"USHJA Hunter 2'6""",,1748,Center Stage,Kirsten L. Malacarne,Catherine Souza,,
29061,10533,265,"USHJA Hunter 2'6""",,1983,Koh I Knoor,Natalie Johnson Russell,Issabella Malherbe,,
29061,10533,265,"USHJA Hunter 2'6""",,2097,Cleveland 42,Isaac Leffkowitz,Phillipa Greenberg,,
29061,10533,265,"USHJA Hunter 2'6""",,2099,Loire,Isaac Leffkowitz,Kelsie Brittan,,
29061,10533,265,"USHJA Hunter 2'6""",,2304,Camden Street,Phillipa Greenberg,Lana Tomlinson,,
29061,10533,265,"USHJA Hunter 2'6""",,2668,Curtis 89,Josephine Demmo,Josephine Demmo,,
29061,10533,265,"USHJA Hunter 2'6""",,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,,
29061,10533,265,"USHJA Hunter 2'6""",,2937,Follow Me,Marissa Creviston,"Alw Eq, LLC",,
29061,10533,265,"USHJA Hunter 2'6""",,2974,St. Nick,Kalli Core,Vivian Downes,,
29061,10533,265,"USHJA Hunter 2'6""",,3034,Napoleon,Robert P. Stucky,Sharrone Peters,,
29062,10533,266,"USHJA Hunter 2'6""",1,1493,Lyon,Katherine Addington,Elevated Performance Horses LLC,,
29062,10533,266,"USHJA Hunter 2'6""",2,1554,Going Global,Jenny Miller,Kendall Lacy,,
29062,10533,266,"USHJA Hunter 2'6""",3,2940,Obora’s Sandman,Marissa Creviston,"Alw Eq, LLC",,
29062,10533,266,"USHJA Hunter 2'6""",4,1748,Center Stage,Kirsten L. Malacarne,Catherine Souza,,
29062,10533,266,"USHJA Hunter 2'6""",5,3034,Napoleon,Robert P. Stucky,Sharrone Peters,,
29062,10533,266,"USHJA Hunter 2'6""",6,2304,Camden Street,Phillipa Greenberg,Lana Tomlinson,,
29062,10533,266,"USHJA Hunter 2'6""",7,2937,Follow Me,Marissa Creviston,"Alw Eq, LLC",,
29062,10533,266,"USHJA Hunter 2'6""",8,1698,Orchard Hills Best Dressed,Ryan Haselden,Stephanie I Sakata,,
29062,10533,266,"USHJA Hunter 2'6""",,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29062,10533,266,"USHJA Hunter 2'6""",,1458,Sweeter Than Fiction,Addy Dewalt,Addy Dewalt,,
29062,10533,266,"USHJA Hunter 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
29062,10533,266,"USHJA Hunter 2'6""",,1983,Koh I Knoor,Natalie Johnson Russell,Issabella Malherbe,,
29062,10533,266,"USHJA Hunter 2'6""",,2099,Loire,Isaac Leffkowitz,Kelsie Brittan,,
29062,10533,266,"USHJA Hunter 2'6""",,2610,Starridor,Charlotte H. Wiese,Stefano Baruzzo LLC,,
29062,10533,266,"USHJA Hunter 2'6""",,2668,Curtis 89,Josephine Demmo,Josephine Demmo,,
29062,10533,266,"USHJA Hunter 2'6""",,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,,
29062,10533,266,"USHJA Hunter 2'6""",,2974,St. Nick,Kalli Core,Vivian Downes,,
29063,10533,267,"USHJA Hunter 2'6""",1,1493,Lyon,Katherine Addington,Elevated Performance Horses LLC,,
29063,10533,267,"USHJA Hunter 2'6""",2,2937,Follow Me,Marissa Creviston,"Alw Eq, LLC",,
29063,10533,267,"USHJA Hunter 2'6""",3,2940,Obora's Sandman,Marissa Creviston,"Alw Eq, LLC",,
29063,10533,267,"USHJA Hunter 2'6""",4,1983,Koh I Knoor,Natalie Johnson Russell,Issabella Malherbe,,
29063,10533,267,"USHJA Hunter 2'6""",5,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,,
29063,10533,267,"USHJA Hunter 2'6""",6,1748,Center Stage,Kirsten L. Malacarne,Catherine Souza,,
29063,10533,267,"USHJA Hunter 2'6""",7,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
29063,10533,267,"USHJA Hunter 2'6""",8,1838,Pursuit Of Honor,Josh Dolan,Shannon Mcmasters,,
29063,10533,267,"USHJA Hunter 2'6""",,1092,Over Ruled,Isabella Keyman,Jennie Keyman,,
29063,10533,267,"USHJA Hunter 2'6""",,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29063,10533,267,"USHJA Hunter 2'6""",,1554,Going Global,Jenny Miller,Kendall Lacy,,
29063,10533,267,"USHJA Hunter 2'6""",,1698,Orchard Hills Best Dressed,Ryan Haselden,Stephanie I Sakata,,
29063,10533,267,"USHJA Hunter 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
